Whale,Flight,Image,Total Altitude,Focal length (mm),Pixel size,Pixel Length,Total Length (m),Estimated % Error,Notes
Mn170807-41,2,DSC00477.JPG,76.97,5,0.000391667,2015.837,12.15,0.04%,
Mn20170807-UnID1,2,DSC00566.JPG,76.537,5,0.000391667,1955.781,11.73,0.74%,
Mn170807-40,3,DSC00660.JPG,79.277,5,0.000391667,1681.146,10.44,0.74%,
Mn170808-42,4,DSC00833.JPG,51.22,5,0.000391667,1973.671,7.92,0.04%,
Mn170809-41,5,DSC00948.JPG,84.51,5,0.000391667,1306.139,8.65,0.04%,
Mn170809-43,6,DSC01082.JPG,62.1454,5,0.000391667,2090.291,10.18,0.74%,
Mn170809-44,7,DSC01123.JPG,74.8154,5,0.000391667,2139.537,12.54,0.74%,
Mn170809-51,8,DSC01317.JPG,48.6854,5,0.000391667,2765.659,10.55,0.74%,
Mn170809-50,8,DSC01426.JPG,59.5054,5,0.000391667,2496.411,11.64,0.74%,
Mn170810-41,9,DSC01615.JPG,67.9954,5,0.000391667,2204.989,11.74,0.74%,
Mn20170810-UnID1 (S-IOS-23),9,DSC01506.JPG,68.0054,5,0.000391667,1910.029,10.17,0.74%,
Mn20170810-UnID2 (S-IOS-25),9,DSC01565.JPG,67.8554,5,0.000391667,1456.879,7.74,0.74%,
Mn170810-30,10,DSC01963.JPG,40.37,5,0.000391667,4666.192,14.76,0.04%,
Mn170810-42,11,DSC02093.JPG,56.4554,5,0.000391667,2210.797,9.78,0.74%,
Mn20170810-UnID3 (S-IOS-28),11,DSC02121.JPG,55.5054,5,0.000391667,2613.422,11.36,0.04%,
Mn20170810-UnID4,11,DSC02035.JPG,78.2354,5,0.000391667,2088.288,12.80,0.04%,
Mn170810-40,12,DSC02239.JPG,42.8954,5,0.000391667,2108.779,7.09,0.74%,
Mn170807-50c,13,DSC02464.JPG,70.9854,5,0.000391667,1880.005,10.45,0.74%,This measurement is from a re-encounter on 8/11 in Flight 13
Bm170813-44,14,DSC02689.JPG,72.01,5,0.000391667,3993.84,22.53,0.04%,
Mn20170814-UnID1,16,DSC02945.JPG,79.4276,5,0.000391667,1290.56,8.03,0.74%,
Bm170814-51,17,DSC03182.JPG,87.2956,5,0.000391667,2969.25,20.30,0.74%,
Bm170814-40,18,DSC03206.JPG,74.3608,5,0.000391667,3838.496,22.36,0.74%,
Bm170814-50,18,DSC03331.JPG,74.5408,5,0.000391667,3845.876,22.46,0.74%,
Mn170815-10,19,DSC03457.JPG,71.19,5,0.000391667,2190.196,12.21,0.04%,
Mn170815-20,19,DSC03560.JPG,67.18,5,0.000391667,2125.862,11.19,0.04%,
Bm170815-31,20,DSC03665.JPG,76.42,5,0.000391667,3698.421,22.14,0.04%,
Bm170815-43,20,DSC03795.JPG,75.83,5,0.000391667,3642.993,21.64,0.04%,
Bm170815-21,21,DSC03868.JPG,61.62,5,0.000391667,4671.276,22.55,0.04%,
Bm170815-28,22,DSC03996.JPG,83.6076,5,0.000391667,3215.155,21.06,0.74%,
Bm170816-51,23,DSC04067.JPG,87.9376,5,0.000391667,3328.717,22.93,0.74%,
Bm20170816-UnID1,23,DSC04110.JPG,86.8476,5,0.000391667,3139.429,21.36,0.74%,
Bm170816-41,24,DSC04216.JPG,86.1176,5,0.000391667,3575.564,24.12,0.74%,
Bm20170816-UnID2,24,DSC04331.JPG,85.8976,5,0.000391667,3151.872,21.21,0.74%,
Bm170816-27,25,DSC04475.JPG,90.7876,5,0.000391667,3074.874,21.87,0.74%,
Bm170816-42,25,DSC04471.JPG,91.6076,5,0.000391667,3404.188,24.43,0.74%,
Bm170816-23,26,DSC04596.JPG,84.5076,5,0.000391667,3467.517,22.95,0.74%,
Bm170816-44,26,DSC04565.JPG,85.0376,5,0.000391667,3248.325,21.64,0.74%,
Bm20170816-UnID3,26,DSC04578.JPG,85.2776,5,0.000391667,3270.359,21.85,0.74%,
Mn170817-50,28,DSC04723.JPG,70.46,5,0.000391667,2344.279,12.94,0.04%,
Mn170817-51,29,DSC04870.JPG,71.1576,5,0.000391667,1900.999,10.60,0.74%,
