,Image,detected_class,detected_pix_len,gt_class,gt_pix_len,detection_score,Whale,Flight,Total Altitude,Focal length (mm),Pixel size,Pixel Length,Total Length (m),Estimated % Error,Notes,detected_len,gt_len
23,DSC00429.JPG,5,171.0759805,5,171.0759234,0.999374807,Bb18_066_001,22,82.54,5,0.000391667,1011.171,6.54,,,6.481145528,6.481143365
46,DSC02239.JPG,3,353.2406728,3,363.1387382,0.998781741,Mn170810-40,12,42.8954,5,0.000391667,2108.779,7.09,0.74%,,6.954720742,7.149597171
28,DSC09223.JPG,5,319.9780635,5,332.3400263,0.999683738,Bb18_063_008,12,47.95,5,0.000391667,1970.822,7.4,,,7.042179458,7.314245486
51,DSC01565.JPG,3,247.1657142,3,249.3951673,0.944467664,Mn20170810-UnID2 (S-IOS-25),9,67.8554,5,0.000391667,1456.879,7.74,0.74%,,7.697876033,7.767311447
57,DSC00833.JPG,3,336.8840776,3,335.1862694,0.999517202,Mn170808-42,4,51.22,5,0.000391667,1973.671,7.92,0.04%,,7.919875055,7.879960943
24,DSC09175.JPG,5,385.6978069,5,395.1719931,0.999162555,Bb18_063_007,12,46.75,5,0.000391667,2318.574,8.49,,,8.276125267,8.479417976
25,DSC09070.JPG,5,235.3783786,5,240.6864983,0.999866247,Bb18_063_004-45,10,77.5,5,0.000391667,3094.603,8.62,,,8.372719472,8.56153629
56,DSC00948.JPG,3,221.1127449,3,221.2283004,0.872724891,Mn170809-41,5,84.51,5,0.000391667,1306.139,8.65,0.04%,,8.576698601,8.58118086
33,DSC09289.JPG,5,530.9716532,5,551.5267565,0.990393102,Bb18_063_012,13,35.25,5,0.000391667,3184.54,8.79,,,8.590703467,8.923268862
32,DSC09329.JPG,5,447.0022271,5,459.4986298,0.99406141,Bb18_063_011,13,42.2,5,0.000391667,2680.109,8.86,,,8.658056366,8.900101151
31,DSC09233.JPG,5,393.155065,5,399.261676,0.999833584,Bb18_063_005,12,48.65,5,0.000391667,2333.053,8.89,,,8.778998817,8.915357053
29,DSC09219.JPG,5,388.248275,5,402.0882841,0.999383926,Bb18_063_006,12,48.4,5,0.000391667,2353.441,8.92,,,8.624882105,8.932336006
30,DSC09242.JPG,5,400.4072515,5,407.521682,0.999439657,Bb18_063_010,12,48.45,5,0.000391667,2389.788,9.07,,,8.904181139,9.062390507
34,DSC09258.JPG,5,411.0058598,5,413.0204971,0.981750131,Bb18_063_009,12,49.05,5,0.000391667,2402.783,9.23,,,9.253058254,9.298414192
